"Inspection date";"ID Code";"Status";"Errors";"Warnings";"Duration (s)";"Review (s)";"Smema (s)";"Operator";"Review status";"Review operator";"Squeegee direction";"Batch";"Lot";"Iteration";"Error type";"Variant";
2025-10-25 04:07:06;2002626680;Warn;0;4;28.9;0.0;0.7;install;-;-;REAR_TO_FRONT;wo2126565;;1;PE_NO_INFO;;
2025-10-25 04:06:27;2002626681;Warn;0;2;31.4;0.0;0.6;install;-;-;FRONT_TO_REAR;wo2126565;;1;PE_NO_INFO;;
2025-10-25 04:04:19;2002626682;NoGood;2;25;30.8;91.3;0.8;install;Pass;install;REAR_TO_FRONT;wo2126565;;1;PE_NO_INFO;;
2025-10-25 04:02:40;E20251025T040308;Warn;0;1;92.7;0.0;0.8;install;-;-;FRONT_TO_REAR;wo2126565;;1;PE_NO_INFO;;
2025-10-25 04:01:41;2002626684;Good;0;0;29.7;0.0;22.0;install;-;-;REAR_TO_FRONT;wo2126565;;1;PE_NO_INFO;;
2025-10-25 03:59:34;2002626685;Warn;0;1;29.8;0.0;90.6;install;-;-;FRONT_TO_REAR;wo2126565;;1;PE_NO_INFO;;
2025-10-25 03:58:37;2002626686;Good;0;0;34.1;0.0;16.4;install;-;-;REAR_TO_FRONT;wo2126565;;1;PE_NO_INFO;;
2025-10-25 03:54:53;2002626667;Good;0;0;36.7;0.0;180.7;install;-;-;FRONT_TO_REAR;wo2126565;;1;PE_NO_INFO;;
2025-10-25 03:54:12;2002626668;Warn;0;4;33.2;0.0;17.4;install;-;-;REAR_TO_FRONT;wo2126565;;1;PE_NO_INFO;;
2025-10-25 03:53:17;2002626669;Warn;0;2;30.4;0.0;0.8;install;-;-;FRONT_TO_REAR;wo2126565;;1;PE_NO_INFO;;
2025-10-25 03:52:40;2002626670;Warn;0;3;29.8;0.0;0.7;install;-;-;REAR_TO_FRONT;wo2126565;;1;PE_NO_INFO;;
2025-10-25 03:52:03;2002626671;Good;0;0;29.7;0.0;0.8;install;-;-;FRONT_TO_REAR;wo2126565;;1;PE_NO_INFO;;
2025-10-25 03:51:21;2002626672;Warn;0;1;34.2;0.0;0.6;install;-;-;REAR_TO_FRONT;wo2126565;;1;PE_NO_INFO;;
2025-10-25 03:50:12;2002626673;NoGood;2;1;28.9;33.7;0.9;install;Pass;install;FRONT_TO_REAR;wo2126565;;1;PE_NO_INFO;;
2025-10-25 03:49:30;2002626674;Warn;0;3;35.0;0.0;421.0;install;-;-;REAR_TO_FRONT;wo2126565;;1;PE_NO_INFO;;
2025-10-25 03:41:47;2002626666;Good;0;0;35.1;0.0;0.6;install;-;-;FRONT_TO_REAR;wo2126565;;1;PE_NO_INFO;;
2025-10-25 03:35:19;2002626655;NoGood;1;3;32.4;349.7;0.8;install;Pass;install;REAR_TO_FRONT;wo2126565;;1;PE_NO_INFO;;
2025-10-25 03:32:23;2002626656;NoGood;1;0;36.1;133.5;0.9;install;Pass;install;FRONT_TO_REAR;wo2126565;;1;PE_NO_INFO;;
2025-10-25 03:31:47;2002626657;Good;0;0;28.0;0.0;0.6;install;-;-;REAR_TO_FRONT;wo2126565;;1;PE_NO_INFO;;
2025-10-25 03:29:26;E20251025T032955;Warn;0;5;135.1;0.0;1.0;install;-;-;FRONT_TO_REAR;wo2126565;;1;PE_NO_INFO;;
2025-10-25 03:28:42;2002626659;Warn;0;1;36.0;0.0;0.7;install;-;-;REAR_TO_FRONT;wo2126565;;1;PE_NO_INFO;;
2025-10-25 03:27:58;2002626660;Good;0;0;36.8;0.0;0.8;install;-;-;FRONT_TO_REAR;wo2126565;;1;PE_NO_INFO;;
2025-10-25 03:27:21;2002626661;Good;0;0;29.7;0.0;0.7;install;-;-;REAR_TO_FRONT;wo2126565;;1;PE_NO_INFO;;
2025-10-25 03:26:38;2002626662;Warn;0;4;35.0;0.0;0.7;install;-;-;FRONT_TO_REAR;wo2126565;;1;PE_NO_INFO;;
2025-10-25 03:25:55;2002626663;Good;0;0;36.0;0.0;0.7;install;-;-;REAR_TO_FRONT;wo2126565;;1;PE_NO_INFO;;
2025-10-25 03:25:10;2002626664;Good;0;0;37.0;0.0;0.7;install;-;-;FRONT_TO_REAR;wo2126565;;1;PE_NO_INFO;;
2025-10-25 03:24:29;2002626665;Good;0;0;34.2;0.0;0.6;install;-;-;REAR_TO_FRONT;wo2126565;;1;PE_NO_INFO;;
2025-10-25 03:19:35;E20251025T032007;Warn;0;3;287.4;0.0;0.8;install;-;-;FRONT_TO_REAR;wo2126565;;1;PE_NO_INFO;;
2025-10-25 03:18:34;2002626645;Good;0;0;29.6;0.0;24.9;install;-;-;REAR_TO_FRONT;wo2126565;;1;PE_NO_INFO;;
2025-10-25 03:17:49;2002626646;Warn;0;2;28.1;0.0;10.1;install;-;-;FRONT_TO_REAR;wo2126565;;1;PE_NO_INFO;;
2025-10-25 03:16:38;E20251025T031706;Good;0;0;64.3;0.0;0.8;install;-;-;REAR_TO_FRONT;wo2126565;;1;PE_NO_INFO;;
2025-10-25 03:15:47;2002626648;Good;0;0;36.9;0.0;7.7;install;-;-;FRONT_TO_REAR;wo2126565;;1;PE_NO_INFO;;
2025-10-25 03:13:56;2002626649;Good;0;0;34.2;0.0;69.8;install;-;-;REAR_TO_FRONT;wo2126565;;1;PE_NO_INFO;;
2025-10-25 03:12:59;2002626650;Good;0;0;32.4;0.0;18.0;install;-;-;FRONT_TO_REAR;wo2126565;;1;PE_NO_INFO;;
2025-10-25 03:11:59;2002626651;Good;0;0;35.2;0.0;18.4;install;-;-;REAR_TO_FRONT;wo2126565;;1;PE_NO_INFO;;
2025-10-25 03:06:16;2002626652;Warn;0;1;29.8;0.0;306.2;install;-;-;FRONT_TO_REAR;wo2126565;;1;PE_NO_INFO;;
